D1,F1,D2,F2,D3,F3,D4,F4,D5,F5,D6,F6,D7,F7
0.225118,0.976128,0.790386,0.632413,0.130942,0.289146,0.307252,0.507476,0.581442,0.792488,0.367046,0.931838,0.608338,0.699132
0.226034,0.988178,0.791382,0.630623,0.131958,0.305716,0.308188,0.519116,0.582438,0.801028,0.368144,0.943588,0.609314,0.716522
0.227112,0.992578,0.792318,0.647283,0.133016,0.303816,0.309144,0.517776,0.583374,0.812479,0.36914,0.954437,0.61025,0.717552
0.22813,1.003798,0.793356,0.661023,0.133972,0.313796,0.31008,0.535376,0.584534,0.821419,0.370098,0.964467,0.61137,0.721932
0.229066,1.017728,0.79425,0.664973,0.13497,0.331756,0.311056,0.539286,0.58545,0.829358,0.371034,0.974858,0.612326,0.741352
0.230022,1.033198,0.79539,0.672233,0.135946,0.340726,0.312174,0.547846,0.586406,0.838238,0.372152,0.983217,0.613282,0.738872
0.23116,1.037528,0.796388,0.678073,0.137004,0.355076,0.313172,0.561616,0.587402,0.862198,0.373108,0.987488,0.614298,0.757232
0.232116,1.046778,0.797322,0.694193,0.138022,0.363766,0.314088,0.565256,0.588502,0.856068,0.374064,0.998198,0.615378,0.748552
0.233074,1.048588,0.79834,0.704973,0.138936,0.364736,0.315226,0.576346,0.589458,0.872439,0.37502,0.999987,0.616374,0.762742
0.233988,1.064408,0.799398,0.709543,0.140036,0.383306,0.316182,0.596416,0.590434,0.865188,0.37618,1.015637,0.61729,0.775742
0.235148,1.076588,0.800334,0.722913,0.141052,0.401816,0.31716,0.596326,0.59137,0.890239,0.377116,1.014268,0.618246,0.782582
0.236104,1.077898,0.801412,0.736713,0.141988,0.413656,0.318136,0.607636,0.59255,0.901628,0.378072,1.038977,0.619324,0.789832
0.23706,1.088708,0.802266,0.744163,0.142964,0.429016,0.319234,0.615036,0.593466,0.898898,0.379028,1.039397,0.620382,0.801702
0.238038,1.098368,0.803426,0.759293,0.143922,0.431186,0.32019,0.624876,0.594422,0.910728,0.380188,1.050158,0.621298,0.803242
0.239116,1.107868,0.804362,0.761603,0.14502,0.448786,0.321146,0.634786,0.595378,0.927549,0.381124,1.050977,0.622254,0.822492
0.240112,1.113978,0.805298,0.776043,0.146016,0.460216,0.322082,0.647226,0.596496,0.934049,0.38208,1.060757,0.623372,0.828622
0.24109,1.138728,0.806274,0.787263,0.147096,0.489246,0.323242,0.654686,0.597474,0.943709,0.383016,1.065027,0.624328,0.841372
0.242046,1.134308,0.807394,0.791023,0.147888,0.484136,0.324198,0.661686,0.59845,0.952608,0.384156,1.081408,0.625264,0.851222
0.243184,1.145048,0.80837,0.814613,0.149008,0.496126,0.325154,0.676136,0.599406,0.963559,0.385112,1.092998,0.626242,0.847872
0.24412,1.148468,0.809346,0.822763,0.150024,0.509746,0.326112,0.697096,0.600504,0.981369,0.386068,1.092887,0.62738,0.856152
0.245098,1.168398,0.810282,0.830703,0.15094,0.523166,0.32725,0.701286,0.601462,0.991739,0.387064,1.115488,0.628336,0.871852
0.246032,1.174488,0.811422,0.845223,0.151916,0.540976,0.328186,0.708016,0.602438,0.992378,0.388164,1.117087,0.629294,0.883482
0.247152,1.172118,0.812418,0.858233,0.153076,0.558386,0.329142,0.720446,0.603434,1.017578,0.38912,1.116698,0.63033,0.893562
0.248108,1.190898,0.813314,0.865173,0.153992,0.580146,0.330098,0.728206,0.604534,1.024318,0.390116,1.134557,0.631368,0.899962
0.249064,1.190978,0.814332,0.882563,0.154928,0.580716,0.331258,0.746176,0.60547,1.031158,0.391094,1.151587,0.632366,0.909922
0.250082,1.211448,0.81541,0.895853,0.155904,0.598206,0.332214,0.750516,0.606426,1.047408,0.392152,1.142467,0.633302,0.932022
0.25118,1.222058,0.816406,0.908763,0.157064,0.612286,0.33315,0.765936,0.607422,1.059338,0.393108,1.157088,0.634258,0.932042
0.252178,1.228568,0.817322,0.929143,0.15798,0.634686,0.334106,0.767476,0.60852,1.066849,0.394084,1.171108,0.635336,0.927022
0.253072,1.243898,0.818298,0.934473,0.158976,0.651096,0.335186,0.787716,0.609478,1.079169,0.39504,1.177628,0.636352,0.949182
0.25409,1.252598,0.819418,0.946743,0.159912,0.661746,0.336142,0.799166,0.610434,1.092059,0.39616,1.185798,0.63735,0.961962
0.255128,1.256768,0.820414,0.972603,0.161012,0.677436,0.337178,0.807766,0.61143,1.105168,0.397116,1.198987,0.638266,0.963872
0.256104,1.268358,0.82133,0.973273,0.161988,0.692556,0.338094,0.815506,0.612528,1.118178,0.398132,1.201148,0.639384,0.982572
0.25708,1.279348,0.822286,0.998353,0.162984,0.713106,0.339234,0.827386,0.613526,1.121899,0.399048,1.217757,0.640382,0.988102
0.258056,1.287748,0.823426,1.016353,0.1639,0.730816,0.34015,0.841296,0.61442,1.147938,0.400168,1.221047,0.641318,0.995312
0.259196,1.298648,0.824362,1.028343,0.16504,0.743366,0.341186,0.852326,0.615418,1.157169,0.401124,1.233268,0.642314,1.013352
0.260152,1.313758,0.825338,1.044293,0.166016,0.765126,0.342122,0.857746,0.616516,1.165148,0.40208,1.238808,0.643392,1.028922
0.261108,1.312028,0.826334,1.060013,0.166952,0.779666,0.343222,0.880786,0.617472,1.183998,0.403096,1.250507,0.644348,1.018232
0.262044,1.332748,0.827414,1.076743,0.167928,0.796536,0.344158,0.888846,0.61845,1.187389,0.404154,1.259958,0.645326,1.035102
0.263164,1.337598,0.82837,1.093333,0.169068,0.810326,0.345154,0.897726,0.619426,1.201908,0.405132,1.265238,0.646282,1.042192
0.2641,1.350908,0.829386,1.106833,0.170004,0.824716,0.34613,0.905366,0.620524,1.222638,0.406088,1.281967,0.647462,1.057772
0.265076,1.357698,0.830282,1.131293,0.17096,0.846126,0.34723,0.906436,0.62148,1.234939,0.407044,1.286447,0.648336,1.062702
0.266032,1.369218,0.8314,1.140303,0.171956,0.861526,0.348206,0.933636,0.622478,1.251688,0.408162,1.293858,0.649312,1.065132
0.267172,1.372498,0.832418,1.167613,0.173034,0.892136,0.349142,0.940926,0.623394,1.262558,0.40916,1.304847,0.65031,1.078132
0.268128,1.383438,0.833374,1.187423,0.174052,0.906666,0.350138,0.951216,0.624532,1.274909,0.410096,1.315677,0.651388,1.095032
0.269124,1.400768,0.83433,1.206743,0.174948,0.918596,0.351074,0.962206,0.62553,1.295859,0.411194,1.321807,0.652406,1.105912
0.27004,1.413248,0.835408,1.221473,0.175924,0.938536,0.352194,0.976866,0.626466,1.309628,0.41217,1.328637,0.65332,1.110202
0.27118,1.422958,0.836366,1.240543,0.177064,0.958356,0.35317,0.987196,0.62738,1.323879,0.413148,1.352138,0.654276,1.125212
0.272116,1.433268,0.837362,1.252953,0.178,0.978646,0.354146,1.000406,0.62852,1.347818,0.414084,1.359698,0.655396,1.137062
0.273132,1.440738,0.838298,1.275813,0.179078,0.991316,0.355082,1.012596,0.629538,1.354028,0.41506,1.365887,0.656414,1.151122
0.274048,1.443308,0.839538,1.307203,0.179952,1.012866,0.35614,1.022006,0.630432,1.367179,0.4162,1.370228,0.657308,1.156492
0.275126,1.459328,0.840374,1.317073,0.18105,1.030666,0.357158,1.034696,0.631388,1.393528,0.417134,1.378718,0.658264,1.175032
0.276102,1.467728,0.84135,1.329803,0.182008,1.044226,0.358134,1.047726,0.632568,1.402748,0.418092,1.392737,0.659384,1.179252
0.27708,1.474448,0.842286,1.353693,0.182964,1.071336,0.35911,1.052506,0.633484,1.404958,0.419108,1.406757,0.660422,1.180582
0.278056,1.494258,0.843404,1.378523,0.18394,1.076996,0.36021,1.069066,0.63444,1.436828,0.420166,1.407037,0.661336,1.200982
0.279176,1.493938,0.84438,1.399403,0.185058,1.101136,0.361166,1.088736,0.635498,1.451558,0.421142,1.424218,0.662272,1.218592
0.280172,1.509328,0.845378,1.419673,0.185994,1.133036,0.362264,1.109576,0.636556,1.471289,0.4221,1.431637,0.663392,1.216642
0.281108,1.530128,0.846294,1.437203,0.18695,1.149496,0.363078,1.108036,0.637492,1.477599,0.423056,1.437317,0.664368,1.238692
0.282024,1.527118,0.847454,1.460743,0.187928,1.163036,0.364218,1.126276,0.638448,1.498669,0.424214,1.453438,0.665304,1.241332
0.283142,1.543198,0.848388,1.484353,0.189046,1.180656,0.365174,1.132976,0.639424,1.518638,0.42513,1.461238,0.666322,1.259072
0.28418,1.552318,0.849366,1.496753,0.190024,1.204246,0.36613,1.153626,0.640524,1.532248,0.426108,1.472128,0.6674,1.271822
0.285096,1.564798,0.850342,1.516123,0.190958,1.231156,0.367066,1.159706,0.64148,1.557719,0.427064,1.482597,0.668396,1.287332
0.286052,1.575588,0.85142,1.542583,0.191916,1.241646,0.368206,1.181816,0.642436,1.574929,0.428182,1.492607,0.669332,1.303652
0.28715,1.588588,0.852376,1.564543,0.193054,1.261366,0.369182,1.186416,0.643392,1.582178,0.42918,1.502238,0.670288,1.315432
0.288148,1.586918,0.853354,1.583283,0.19399,1.282406,0.370098,1.205976,0.644552,1.604349,0.430094,1.515068,0.671408,1.324192
0.289144,1.607428,0.85429,1.597623,0.194988,1.307806,0.371236,1.219626,0.645488,1.625159,0.431072,1.529567,0.672364,1.335572
0.29006,1.612228,0.85547,1.624413,0.195924,1.321616,0.372192,1.229396,0.646444,1.646538,0.43217,1.535727,0.67332,1.345052
0.291138,1.626118,0.856384,1.647083,0.197042,1.357716,0.37317,1.246496,0.6474,1.659099,0.433126,1.538617,0.674338,1.362812
0.292156,1.641258,0.857362,1.664953,0.197998,1.362536,0.374106,1.253496,0.64854,1.673949,0.434144,1.564267,0.675416,1.360582
0.293152,1.646558,0.858298,1.688663,0.198954,1.387106,0.375244,1.265436,0.649496,1.696019,0.435058,1.571248,0.676474,1.392162
0.294088,1.664958,0.859478,1.713713,0.199932,1.395326,0.37618,1.278646,0.650472,1.710799,0.436198,1.569728,0.677308,1.391082
0.295186,1.674738,0.860392,1.731963,0.20109,1.422456,0.377178,1.299646,0.651408,1.728578,0.437174,1.596858,0.678244,1.412772
0.296164,1.682198,0.861348,1.744153,0.202006,1.445446,0.378174,1.308846,0.652528,1.753888,0.438152,1.606027,0.679402,1.420782
0.297098,1.689928,0.862304,1.779413,0.203024,1.464496,0.37911,1.328486,0.653484,1.770959,0.439066,1.614458,0.68038,1.429062
0.298076,1.698098,0.863424,1.795843,0.20394,1.483906,0.380228,1.336066,0.65448,1.791068,0.440186,1.628818,0.681316,1.440172
0.299214,1.717378,0.86442,1.821412,0.205018,1.511746,0.381186,1.346156,0.655436,1.815569,0.441142,1.641787,0.682292,1.456142
0.30015,1.731558,0.865356,1.836723,0.206034,1.524526,0.3821,1.366746,0.656536,1.824248,0.442118,1.640677,0.683452,1.472912
0.301106,1.739338,0.866312,1.860533,0.20697,1.545036,0.38326,1.374706,0.657492,1.848688,0.443096,1.656198,0.684368,1.476312
0.302084,1.754848,0.867432,1.880643,0.207948,1.560956,0.384216,1.389536,0.658448,1.867648,0.444214,1.668037,0.685324,1.495312
0.303182,1.764778,0.86845,1.902193,0.209066,1.598706,0.385214,1.410386,0.659424,1.888708,0.44515,1.680697,0.686238,1.504992
0.304138,1.771708,0.869364,1.928093,0.210062,1.610666,0.38613,1.410826,0.660564,1.909748,0.446248,1.700557,0.687398,1.520272
0.305156,1.777698,0.87028,1.944003,0.210958,1.639416,0.387086,1.435516,0.6615,1.929879,0.447062,1.701908,0.688354,1.532462
0.30603,1.791838,0.87144,1.979583,0.211934,1.651516,0.388244,1.440156,0.662456,1.947589,0.448202,1.719137,0.689332,1.542242
0.30719,1.797258,0.872436,1.990583,0.213054,1.681896,0.38918,1.453236,0.663412,1.969598,0.449138,1.726278,0.690288,1.559242
0.308188,1.823918,0.873394,2.013803,0.21401,1.697456,0.390138,1.470516,0.66453,1.996648,0.450114,1.733937,0.691426,1.562002
0.309102,1.823028,0.874308,2.034313,0.215028,1.729216,0.391094,1.489486,0.665528,2.005899,0.45109,1.746498,0.692362,1.577072
0.31008,1.834068,0.875428,2.054253,0.215942,1.751126,0.392212,1.491376,0.666464,2.030999,0.45219,1.765448,0.69336,1.600872
0.311158,1.841468,0.876404,2.077392,0.217062,1.775706,0.39321,1.504726,0.6674,2.049678,0.453146,1.769668,0.694296,1.614752
0.312154,1.856738,0.87736,2.098393,0.218018,1.799356,0.394144,1.522376,0.668538,2.075749,0.454122,1.788948,0.695374,1.629822
0.31311,1.875848,0.878358,2.125263,0.219014,1.813086,0.395122,1.543756,0.669494,2.089498,0.455098,1.800787,0.69637,1.638912
0.314066,1.884868,0.879436,2.142283,0.21995,1.843556,0.39622,1.552346,0.670512,2.114138,0.456198,1.807368,0.697368,1.650432
0.315226,1.900108,0.880392,2.174393,0.22107,1.878986,0.397238,1.572736,0.671428,2.126629,0.457154,1.822077,0.698284,1.665692
0.316142,1.905728,0.881348,2.190262,0.222006,1.893536,0.398132,1.589496,0.672546,2.151959,0.45811,1.830208,0.699422,1.681572
0.31716,1.908088,0.882344,2.220883,0.223022,1.906846,0.39911,1.594356,0.673502,2.176998,0.459066,1.843327,0.700378,1.687352
0.318074,1.935598,0.883444,2.242113,0.223938,1.940036,0.400268,1.621346,0.67448,2.195119,0.460206,1.850888,0.701356,1.715582
0.319194,1.943998,0.8844,2.259253,0.225058,1.957976,0.401184,1.623986,0.675456,2.207579,0.461142,1.869107,0.702312,1.720612
0.32015,1.945628,0.885336,2.278323,0.226034,1.981916,0.40216,1.649526,0.676554,2.232849,0.462118,1.879388,0.70343,1.736192
0.321126,1.960508,0.886332,2.295533,0.22703,2.007086,0.40326,1.660036,0.67751,2.266449,0.463094,1.891377,0.704386,1.746652
0.322104,1.967438,0.887492,2.318962,0.227946,2.032306,0.404216,1.674256,0.678468,2.276249,0.464254,1.902487,0.705342,1.765212
0.323202,1.989388,0.888408,2.345413,0.229086,2.054406,0.405212,1.688676,0.679424,2.289209,0.46517,1.908828,0.7063,1.772602
0.324158,1.996548,0.889364,2.373853,0.230022,2.080486,0.40619,1.703476,0.680582,2.323188,0.466106,1.924318,0.707418,1.791442
0.325154,2.006238,0.89032,2.394183,0.231038,2.110296,0.407104,1.720736,0.681518,2.342099,0.467082,1.934897,0.708394,1.799522
0.32609,2.024298,0.8915,2.414193,0.231934,2.135886,0.408264,1.743546,0.682476,2.368538,0.4682,1.947357,0.709372,1.823482
0.327168,2.028978,0.892416,2.442003,0.233032,2.156266,0.40918,1.747166,0.683452,2.388138,0.469158,1.956948,0.710348,1.833882
0.328166,2.052358,0.893372,2.454433,0.23403,2.173996,0.410136,1.774586,0.68457,2.416108,0.470114,1.969677,0.711406,1.849112
0.329162,2.056488,0.894328,2.482073,0.235026,2.200786,0.411112,1.776796,0.685506,2.428918,0.47109,1.983788,0.712402,1.860102
0.330098,2.071528,0.895488,2.509173,0.235942,2.225776,0.412232,1.790876,0.686484,2.449978,0.472208,1.999468,0.713338,1.871212
0.331218,2.075678,0.896404,2.532183,0.23704,2.251196,0.41325,1.814816,0.68744,2.474069,0.473206,2.015007,0.714316,1.880182
0.332174,2.092568,0.89736,2.539553,0.238038,2.279466,0.414144,1.824746,0.688558,2.495248,0.474122,2.032677,0.715414,1.892112
0.33315,2.103468,0.898336,2.575883,0.238974,2.304116,0.41512,1.853596,0.689556,2.515179,0.475098,2.043917,0.71641,1.916562
0.334106,2.119778,0.899496,2.598622,0.23995,2.335386,0.41626,1.860506,0.69047,2.541999,0.476196,2.052017,0.717346,1.933242
0.335206,2.127788,0.900452,2.621743,0.241068,2.351116,0.417196,1.874246,0.691426,2.549868,0.477194,2.060708,0.718262,1.936752
0.336162,2.141238,0.901388,2.637003,0.242106,2.385136,0.418152,1.892836,0.692546,2.573499,0.47813,2.080218,0.719422,1.949212
0.337138,2.158238,0.902324,2.664933,0.243002,2.416446,0.419128,1.909536,0.693502,2.598019,0.479086,2.093257,0.720378,1.973322
0.338074,2.167578,0.903464,2.684482,0.243938,2.441706,0.420248,1.918146,0.69452,2.625528,0.480246,2.101357,0.721396,1.985242
0.339214,2.172978,0.904398,2.708532,0.245076,2.459036,0.421204,1.942886,0.695456,2.646289,0.48116,2.118468,0.72231,1.996392
0.34021,2.180748,0.905376,2.731663,0.246034,2.498276,0.42216,1.944786,0.696554,2.663598,0.482138,2.137567,0.723388,2.006492
0.341166,2.202208,0.906332,2.756173,0.24701,2.516866,0.423116,1.973766,0.69747,2.688058,0.483094,2.137468,0.724386,2.029752
0.342102,2.215888,0.90741,2.781323,0.247966,2.536936,0.424256,1.984716,0.698528,2.712539,0.484212,2.163768,0.725342,2.042832
0.3432,2.219378,0.908428,2.799953,0.249084,2.566196,0.425192,1.994586,0.699442,2.725258,0.485168,2.173847,0.726318,2.067552
0.344178,2.232778,0.909424,2.822613,0.25004,2.584756,0.426208,2.021706,0.700582,2.752428,0.486124,2.186948,0.727438,2.082372
0.345134,2.257898,0.910298,2.850713,0.251058,2.612616,0.427124,2.038556,0.701518,2.771978,0.487142,2.200347,0.728394,2.097812
0.34609,2.262468,0.911458,2.876833,0.251934,2.637496,0.428264,2.055326,0.702536,2.801218,0.488302,2.205987,0.72937,2.112752
0.347208,2.271098,0.912436,2.901503,0.253092,2.670706,0.4292,2.067446,0.70345,2.814748,0.489176,2.226258,0.730326,2.128292
0.348166,2.291148,0.91335,2.913963,0.254028,2.694636,0.430176,2.082316,0.70461,2.848439,0.490132,2.246288,0.731384,2.147022
0.349142,2.295278,0.914348,2.934113,0.254984,2.714236,0.431296,2.099666,0.705526,2.866859,0.49109,2.258867,0.732402,2.168812
0.350118,2.314518,0.915466,2.965613,0.255962,2.741866,0.432292,2.121696,0.706482,2.889348,0.492208,2.267817,0.733398,2.181462
0.351258,2.329858,0.916422,2.989293,0.25708,2.771136,0.433208,2.135936,0.70748,2.910529,0.493184,2.274898,0.734274,2.204232
0.352174,2.340878,0.9174,3.012883,0.258056,2.790166,0.434164,2.145436,0.708558,2.941769,0.49414,2.293128,0.735434,2.223642
0.35313,2.351778,0.918356,3.042632,0.259034,2.827986,0.43514,2.164996,0.709534,2.961299,0.495138,2.303617,0.73639,2.236922
0.354106,2.361348,0.919454,3.062503,0.25995,2.862356,0.436198,2.186776,0.71049,2.972818,0.496216,2.317588,0.737366,2.257002
0.355224,2.374568,0.92043,3.078082,0.261028,2.874086,0.437174,2.206826,0.711406,2.990599,0.497172,2.332298,0.738322,2.277472
0.35616,2.394648,0.921366,3.106513,0.262044,2.907606,0.438232,2.220046,0.712586,3.003178,0.498148,2.341567,0.739442,2.294252
0.357178,2.402308,0.922322,3.137033,0.263,2.928886,0.43929,2.234066,0.713542,3.032638,0.499126,2.364948,0.740478,2.310492
0.358094,2.411858,0.923462,3.147583,0.263958,2.958436,0.440246,2.250886,0.714498,3.069059,0.500204,2.381638,0.741374,2.327292
0.359212,2.432598,0.92446,3.173592,0.265076,2.990496,0.441204,2.273216,0.715454,3.083918,0.50118,2.386817,0.74231,2.346702
0.360168,2.443568,0.925394,3.190753,0.266072,3.015456,0.44218,2.286776,0.716554,3.101549,0.502178,2.408777,0.74349,2.373942
0.361206,2.454148,0.926392,3.221413,0.26703,3.029776,0.443176,2.303016,0.71753,3.129319,0.503092,2.410828,0.744426,2.391892
0.362122,2.473968,0.92747,3.254872,0.267964,3.068866,0.444254,2.324956,0.718486,3.145949,0.504212,2.436657,0.745382,2.403452
0.36318,2.484598,0.928426,3.262743,0.269044,3.089306,0.445212,2.327556,0.719442,3.168548,0.505168,2.442677,0.746318,2.418392
0.364196,2.495038,0.929402,3.294183,0.27008,3.126316,0.446188,2.350036,0.720602,3.195629,0.506124,2.461558,0.747436,2.451002
0.365174,2.509938,0.930338,3.312233,0.270996,3.151856,0.447306,2.371686,0.721578,3.203988,0.5071,2.471057,0.748414,2.458622
0.36611,2.517948,0.931458,3.338953,0.271972,3.173116,0.448202,2.387216,0.722494,3.238339,0.50822,2.489758,0.74935,2.480832
0.367248,2.536158,0.932414,3.355263,0.273152,3.206776,0.44926,2.408376,0.72345,3.265948,0.509216,2.502127,0.750346,2.500132
0.368184,2.540728,0.93339,3.386083,0.274048,3.223316,0.450176,2.429306,0.72459,3.273589,0.510172,2.514228,0.751444,2.528862
0.369162,2.562548,0.934388,3.400533,0.275004,3.253196,0.451274,2.441446,0.725546,3.310439,0.511088,2.530008,0.752402,2.543802
0.370138,2.572078,0.935426,3.430673,0.27592,3.291746,0.45225,2.464956,0.726502,3.321219,0.512228,2.544147,0.753398,2.548112
0.371236,2.585298,0.936442,3.460893,0.2771,3.313156,0.453166,2.482426,0.727458,3.349109,0.513184,2.557797,0.754334,2.583932
0.372212,2.605828,0.937398,3.475483,0.278056,3.330856,0.454184,2.493876,0.728576,3.370928,0.51416,2.569807,0.755494,2.606422
0.373148,2.615098,0.938354,3.500523,0.279032,3.370246,0.455322,2.509106,0.729534,3.397689,0.515116,2.584537,0.756408,2.629922
0.374106,2.625708,0.939454,3.521313,0.279968,3.392676,0.456218,2.534566,0.73053,3.415588,0.516236,2.599318,0.757366,2.640342
0.375224,2.643068,0.94043,3.548093,0.281046,3.428946,0.457214,2.548286,0.731446,3.435299,0.517232,2.618747,0.758322,2.658902
0.37618,2.652158,0.941366,3.575163,0.282044,3.441296,0.458192,2.561226,0.732564,3.459808,0.518148,2.639237,0.75944,2.681832
0.377156,2.669928,0.942342,3.590542,0.283,3.480496,0.45929,2.583576,0.733562,3.488989,0.519104,2.649617,0.760438,2.707962
0.378112,2.677378,0.943522,3.617602,0.283956,3.495226,0.460266,2.596246,0.734498,3.505968,0.520284,2.663857,0.761352,2.722122
0.379252,2.701378,0.944438,3.635682,0.285096,3.528226,0.461264,2.619466,0.735454,3.532229,0.5212,2.679028,0.76235,2.739932
0.380208,2.717518,0.945394,3.658933,0.286052,3.558766,0.462178,2.642186,0.736572,3.552029,0.522156,2.690458,0.763448,2.759112
0.381186,2.724448,0.946412,3.684533,0.287008,3.579366,0.463318,2.652116,0.73755,3.572708,0.523152,2.704107,0.764404,2.773252
0.38212,2.742068,0.94751,3.706423,0.287984,3.613216,0.464274,2.663026,0.738506,3.597149,0.524232,2.722327,0.765402,2.802812
0.3832,2.750808,0.948446,3.733232,0.289084,3.637286,0.46521,2.693446,0.739502,3.614379,0.525188,2.734267,0.766318,2.814702
0.384196,2.760318,0.949402,3.752483,0.29006,3.663386,0.466228,2.706076,0.74056,3.638909,0.526164,2.754827,0.767416,2.847142
0.385152,2.783058,0.950358,3.772813,0.291056,3.683326,0.467286,2.729956,0.741536,3.659928,0.52712,2.774787,0.768412,2.860452
0.386128,2.790138,0.951498,3.794433,0.291972,3.715266,0.468262,2.749536,0.742514,3.687969,0.528218,2.778048,0.769368,2.871882
0.387208,2.800178,0.953594,3.832592,0.293112,3.738516,0.469218,2.771656,0.74347,3.703709,0.529196,2.796977,0.770366,2.906112
0.388204,2.814418,0.954122,3.869772,0.294068,3.769306,0.470194,2.778856,0.744588,3.724819,0.530192,2.811738,0.771444,2.934272
0.38918,2.833768,0.95461,3.873533,0.295024,3.789036,0.471274,2.800756,0.745586,3.750139,0.531108,2.827598,0.7724,2.945972
0.390158,2.853828,0.955404,3.901363,0.29602,3.822846,0.47225,2.817546,0.746522,3.774508,0.532248,2.841978,0.773376,2.972272
0.391256,2.867198,0.95638,3.909423,0.2971,3.844156,0.473226,2.830786,0.747478,3.798718,0.533204,2.863578,0.774332,2.984902
0.392212,2.880488,0.95748,3.932133,0.298076,3.876836,0.474182,2.851446,0.748616,3.811909,0.53416,2.877317,0.775492,3.009362
0.393168,2.895818,0.958456,3.959352,0.299032,3.905156,0.475302,2.865666,0.749532,3.841739,0.535116,2.891868,0.776408,3.017752
0.394144,2.914088,0.959412,3.987052,0.299988,3.933886,0.476258,2.887426,0.750488,3.862008,0.536276,2.905868,0.777384,3.047632
0.395244,2.922758,0.960408,4.006712,0.301128,3.951766,0.477254,2.917646,0.751444,3.883639,0.537212,2.921927,0.77834,3.072552
0.3962,2.938378,0.961488,4.033333,0.302084,3.977256,0.47819,2.928636,0.752584,3.912808,0.538148,2.932758,0.7795,3.095042
0.397196,2.949588,0.962444,4.052883,0.30308,4.012716,0.47933,2.946166,0.75354,3.935018,0.539144,2.950498,0.780478,3.110122
0.398132,2.968558,0.96342,4.072782,0.303976,4.043326,0.480266,2.973196,0.754496,3.947739,0.540242,2.971678,0.781372,3.137542
0.399252,2.982948,0.964376,4.098762,0.305116,4.065446,0.481242,2.988646,0.755452,3.970249,0.5412,2.983268,0.782328,3.156962
0.400228,2.989758,0.965556,4.118973,0.306072,4.088946,0.482218,3.008566,0.756612,3.993789,0.542176,2.997427,0.783468,3.177652
0.401184,3.011678,0.966452,4.148033,0.307048,4.124096,0.483318,3.019136,0.757568,4.015609,0.543152,3.018487,0.784506,3.201182
0.40208,3.026758,0.967408,4.163083,0.308004,4.142266,0.484274,3.035256,0.758504,4.032568,0.54425,3.031898,0.78538,3.222862
0.40324,3.045408,0.968364,4.189603,0.309124,4.162976,0.48525,3.053606,0.759482,4.054078,0.545186,3.045507,0.786336,3.243352
0.404216,3.051738,0.969544,4.212673,0.31008,4.198466,0.486248,3.067556,0.76058,4.073668,0.546164,3.062798,0.787496,3.269372
0.405152,3.072368,0.970438,4.242483,0.311076,4.223166,0.487326,3.093336,0.761556,4.097679,0.54716,3.079927,0.788392,3.281702
0.406128,3.084488,0.971416,4.259143,0.311992,4.252536,0.488322,3.100996,0.762512,4.117978,0.548258,3.095887,0.789408,3.314532
0.407248,3.099908,0.972372,4.287642,0.31307,4.277736,0.489258,3.128396,0.763468,4.139418,0.549214,3.110487,0.790344,3.329542
